k0,k1,damping,velocity,w_max
38249457.05163603,246086.4292054208,0,50.13713805005752,0.00016325106455790964
65009988.80840802,197732.22195930014,0,37.77264633060466,0.00010502848562126692
51953755.3086094,231687.12860805768,0,44.86803292209451,0.00012527375056453
57890963.220293924,234723.81170675645,0,19.353973035442444,0.0001127228123221989
75876540.42484163,242295.45814838383,0,56.47318545361814,9.560844113927334e-05
62984070.328398295,116149.52605990434,0,62.21906873552302,0.00010635133020751537
76010258.14480633,233500.45234191717,0,51.532042932236926,9.193636724077374e-05
40764098.104782164,449755.9710523508,0,24.652298487318767,0.00014878830635797408
2978268.1840341147,120995.0526713946,0,66.83848385269644,0.0012920369359212547
63878614.07611699,11203.088645006841,0,30.919489154161223,0.00010576696766647478
55591611.79356747,288056.35010877386,0,46.224231253792816,0.00011913574632195566
61486123.98003503,268281.97896963754,0,13.466954462137785,0.00010826900993892977
42626056.0159094,16300.333264163208,0,41.496886383217735,0.00014679653784323374
16902670.716374204,283902.89688021387,0,56.63131013596251,0.0003076244233964017
47906629.12012473,78799.0733840172,0,55.5209238223357,0.00013263295457345282
56187017.091599554,252965.3103567033,0,72.84419011373558,0.00011852095196884712
20518834.49544739,172597.44194928533,0,57.99983793479843,0.0002712347549059898
18890753.78095078,465477.40306917235,0,35.81863951164486,0.000277306913044004
62910704.19197643,21612.613942221833,0,36.64780243817363,0.00010809711748634905
12210004.717153987,72837.63595247632,0,63.920632468708256,0.0003835689132092335
39354605.520029336,158381.731199861,0,57.70371875383071,0.00015498180080382443
47719300.932487436,70471.74399389935,0,66.34596682323496,0.00013837296267658338
21469897.35686511,45032.4739,0,26.884502492166682,0.00023879533882083733
62232761.41779344,208066.6426424939,0,41.601398808292345,0.0001107860901180844
53586838.37517035,177854.87889192774,0,55.19830701859454,0.0001199877610514998
19046944.80991447,257751.71010268605,0,63.14937075366701,0.00025216459377355087
22127055.10743627,68994.04758644823,0,30.432644896496246,0.0002394149850320933
11380024.568637485,231226.2873644874,0,36.47214242935025,0.00038650557671440544
24782571.142655995,184015.3469302022,0,48.29834947833124,0.00022029375125119256
57749127.54165262,190822.61599983717,0,66.06352497379686,0.00011186511000341974
61763818.335425295,25615.551666739648,0,15.371203791828798,0.0001083188881512857
53936246.37754895,374578.75331819756,0,64.1940832746363,0.00011973423712922036
35826176.1937632,241274.89510277283,0,32.86829299375635,0.0001629674322060623
70388576.97929627,184090.98397568875,0,74.66134201352669,9.931643185228987e-05
13949933.859446231,366472.78636774165,0,34.6710231960763,0.0003322388219075779
32768002.101936918,314095.39118949266,0,43.21505183410075,0.00017746141813102724
